"No.","Time","Source","Destination","Protocol","Length","Info"
"117","0.372974693","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [ACK] Seq=195008 Ack=1350 Win=24576 Len=1368 TSval=81924920 TSecr=1864125205 [TCP segment of a reassembled PDU]"
"119","0.402699846","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=144392 Ack=1350 Win=24576 Len=1368 TSval=81924942 TSecr=1864125228"
"121","0.403407787","104.26.10.104","172.21.0.134","TCP","4170","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=171752 Ack=1350 Win=24576 Len=4104 TSval=81924942 TSecr=1864125228"
"123","0.403408137","104.26.10.104","172.21.0.134","TCP","9642","[TCP Retransmission] 443  >  44548 [ACK] Seq=175856 Ack=1350 Win=24576 Len=9576 TSval=81924952 TSecr=1864125237"
"125","0.404712157","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=185432 Ack=1350 Win=24576 Len=1368 TSval=81924952 TSecr=1864125237"
"127","0.405001929","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=186800 Ack=1350 Win=24576 Len=1368 TSval=81924952 TSecr=1864125237"
"129","0.426688537","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [ACK] Seq=196376 Ack=1350 Win=24576 Len=1368 TSval=81924982 TSecr=1864125268 [TCP segment of a reassembled PDU]"
"131","0.434010499","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [PSH, ACK] Seq=197744 Ack=1350 Win=24576 Len=1368 TSval=81924982 TSecr=1864125268 [TCP segment of a reassembled PDU]"
"133","0.435548029","104.26.10.104","172.21.0.134","TCP","4170","443  >  44548 [PSH, ACK] Seq=199112 Ack=1350 Win=24576 Len=4104 TSval=81924983 TSecr=1864125268 [TCP segment of a reassembled PDU]"
"134","0.435548255","104.26.10.104","172.21.0.134","TCP","2802","443  >  44548 [PSH, ACK] Seq=203216 Ack=1350 Win=24576 Len=2736 TSval=81924983 TSecr=1864125268 [TCP segment of a reassembled PDU]"
"135","0.435548346","104.26.10.104","172.21.0.134","SSLv2","2802","Encrypted Data, Continuation Data"
"136","0.435548437","104.26.10.104","172.21.0.134","TLSv1.3","2802","Continuation Data"
"137","0.435614316","104.26.10.104","172.21.0.134","TCP","1434","[TCP Previous segment not captured] 443  >  44548 [ACK] Seq=229208 Ack=1350 Win=24576 Len=1368 TSval=81924983 TSecr=1864125268"
"138","0.436025741","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"139","0.436345575","104.26.10.104","172.21.0.134","TLSv1.3","929","Continuation Data"
"141","0.448913106","104.26.10.104","172.21.0.134","TCP","1434","[TCP Out-Of-Order] 443  >  44548 [ACK] Seq=188168 Ack=1350 Win=24576 Len=1368 TSval=81925006 TSecr=1864125292"
"143","0.464551269","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=189536 Ack=1350 Win=24576 Len=1368 TSval=81925006 TSecr=1864125292"
"145","0.465089864","104.26.10.104","172.21.0.134","TCP","2802","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=190904 Ack=1350 Win=24576 Len=2736 TSval=81925006 TSecr=1864125292"
"147","0.465090263","104.26.10.104","172.21.0.134","TCP","2802","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=211424 Ack=1350 Win=24576 Len=2736 TSval=81925008 TSecr=1864125292"
"149","0.465090409","104.26.10.104","172.21.0.134","TCP","2802","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=214160 Ack=1350 Win=24576 Len=2736 TSval=81925009 TSecr=1864125292"
"150","0.465090510","104.26.10.104","172.21.0.134","TCP","2802","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=216896 Ack=1350 Win=24576 Len=2736 TSval=81925011 TSecr=1864125292"
"151","0.465222364","104.26.10.104","172.21.0.134","TCP","2802","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=219632 Ack=1350 Win=24576 Len=2736 TSval=81925012 TSecr=1864125292"
"155","0.465980293","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=222368 Ack=1350 Win=24576 Len=1368 TSval=81925013 TSecr=1864125292"
"157","0.466882355","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=223736 Ack=1350 Win=24576 Len=1368 TSval=81925013 TSecr=1864125292"
"159","0.807536056","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=225104 Ack=1350 Win=24576 Len=1368 TSval=81925282 TSecr=1864125332"
"161","0.829875497","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=226472 Ack=1350 Win=24576 Len=1368 TSval=81925387 TSecr=1864125672"
"163","0.831577092","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=227840 Ack=1350 Win=24576 Len=1368 TSval=81925387 TSecr=1864125672"
"167","2.855031146","104.26.10.104","172.21.0.134","TCP","66","443  >  44548 [ACK] Seq=232807 Ack=1606 Win=24576 Len=0 TSval=81927408 TSecr=1864127692"
"170","2.933670856","104.26.10.104","172.21.0.134","TCP","66","443  >  44548 [ACK] Seq=232807 Ack=1863 Win=24576 Len=0 TSval=81927489 TSecr=1864127774"
"172","3.036556765","104.26.10.104","172.21.0.134","TLSv1.3","397","Application Data"
"173","3.036707573","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [ACK] Seq=233138 Ack=2084 Win=24576 Len=1368 TSval=81927593 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"175","3.037124516","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [PSH, ACK] Seq=234506 Ack=2084 Win=24576 Len=1368 TSval=81927593 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"176","3.037592432","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [ACK] Seq=235874 Ack=2084 Win=24576 Len=1368 TSval=81927595 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"178","3.038724666","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [PSH, ACK] Seq=237242 Ack=2084 Win=24576 Len=1368 TSval=81927595 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"179","3.039262518","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [ACK] Seq=238610 Ack=2084 Win=24576 Len=1368 TSval=81927596 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"181","3.040508013","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [PSH, ACK] Seq=239978 Ack=2084 Win=24576 Len=1368 TSval=81927596 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"182","3.040826581","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [ACK] Seq=241346 Ack=2084 Win=24576 Len=1368 TSval=81927598 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"184","3.042557106","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [PSH, ACK] Seq=242714 Ack=2084 Win=24576 Len=1368 TSval=81927598 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"185","3.043367988","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [ACK] Seq=244082 Ack=2084 Win=24576 Len=1368 TSval=81927600 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"187","3.044813834","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [PSH, ACK] Seq=245450 Ack=2084 Win=24576 Len=1368 TSval=81927600 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"188","3.045793338","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [ACK] Seq=246818 Ack=2084 Win=24576 Len=1368 TSval=81927601 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"190","3.046916891","104.26.10.104","172.21.0.134","TLSv1.3","1434","Application Data"
"191","3.047945001","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [ACK] Seq=249554 Ack=2084 Win=24576 Len=1368 TSval=81927603 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"193","3.049222792","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [PSH, ACK] Seq=250922 Ack=2084 Win=24576 Len=1368 TSval=81927603 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"194","3.060217830","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [ACK] Seq=252290 Ack=2084 Win=24576 Len=1368 TSval=81927605 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"196","3.062380800","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [PSH, ACK] Seq=253658 Ack=2084 Win=24576 Len=1368 TSval=81927605 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"197","3.062381388","104.26.10.104","172.21.0.134","TCP","2802","443  >  44548 [PSH, ACK] Seq=255026 Ack=2084 Win=24576 Len=2736 TSval=81927607 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"199","3.062381543","104.26.10.104","172.21.0.134","TCP","2802","443  >  44548 [PSH, ACK] Seq=257762 Ack=2084 Win=24576 Len=2736 TSval=81927608 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"201","3.062381715","104.26.10.104","172.21.0.134","TCP","2802","443  >  44548 [PSH, ACK] Seq=260498 Ack=2084 Win=24576 Len=2736 TSval=81927610 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"202","3.062381857","104.26.10.104","172.21.0.134","TLSv1.3","2802","Application Data"
"204","3.062624981","104.26.10.104","172.21.0.134","TCP","2802","443  >  44548 [PSH, ACK] Seq=265970 Ack=2084 Win=24576 Len=2736 TSval=81927613 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"207","3.063739994","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [ACK] Seq=268706 Ack=2084 Win=24576 Len=1368 TSval=81927615 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"208","3.090220538","104.26.10.104","172.21.0.134","TCP","1434","[TCP Previous segment not captured] 443  >  44548 [ACK] Seq=271442 Ack=2084 Win=24576 Len=1368 TSval=81927617 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"210","3.090761326","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [PSH, ACK] Seq=272810 Ack=2084 Win=24576 Len=1368 TSval=81927617 TSecr=1864127842 [TCP segment of a reassembled PDU]"
"212","3.090761678","104.26.10.104","172.21.0.134","TCP","2802","443  >  44548 [PSH, ACK] Seq=274178 Ack=2084 Win=24576 Len=2736 TSval=81927618 TSecr=1864127842 [TCP segment of a reassembled PDU]"
