"No.","Time","Source","Destination","Protocol","Length","Info"
"10341","1048.183466280","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10343","1048.213485066","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=6390469 Ack=1 Win=501 Len=1368 TSval=1404271465 TSecr=4005776007 [TCP segment of a reassembled PDU]"
"10345","1048.236981916","88.99.245.8","172.21.0.134","TLSv1.2","120","Application Data"
"10347","1048.486804001","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10349","1048.793932899","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10351","1048.953338287","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=6394735 Ack=1 Win=501 Len=1368 TSval=1404272226 TSecr=4005777031 [TCP segment of a reassembled PDU]"
"10353","1048.953516138","88.99.245.8","172.21.0.134","TLSv1.2","120","Application Data"
"10355","1049.203890437","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=6396157 Ack=1 Win=501 Len=1368 TSval=1404272462 TSecr=4005777191 [TCP segment of a reassembled PDU]"
"10357","1049.204485310","88.99.245.8","172.21.0.134","TLSv1.2","120","Application Data"
"10359","1049.509645641","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10361","1049.714632816","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10363","1049.921730992","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10365","1050.228910581","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10366","1050.228911172","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10369","1050.234617761","88.99.245.8","172.21.0.134","TCP","120","[TCP Spurious Retransmission] 443  >  52454 [PSH, ACK] Seq=6404635 Ack=1 Win=501 Len=54 TSval=1404273525 TSecr=4005778159"
"10371","1050.432204331","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10373","1050.738554338","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10375","1050.898763931","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=6407533 Ack=1 Win=501 Len=1368 TSval=1404274152 TSecr=4005778976 [TCP segment of a reassembled PDU]"
"10377","1050.898894143","88.99.245.8","172.21.0.134","TLSv1.2","120","Application Data"
"10379","1051.150177490","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10381","1051.456017446","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10383","1051.661140880","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10385","1051.865941601","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10387","1052.173816054","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10389","1052.377759238","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10391","1052.685443098","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10393","1052.889380933","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10395","1053.095427935","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10397","1053.401678695","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10399","1053.922959006","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10400","1053.922959398","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10401","1053.922959504","88.99.245.8","172.21.0.134","TCP","120","[TCP Retransmission] 443  >  52454 [PSH, ACK] Seq=6425965 Ack=1 Win=501 Len=54 TSval=1404277149 TSecr=4005781639"
"10405","1054.120482021","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10407","1054.323342768","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10409","1054.634923075","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10411","1054.835282257","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"10413","1055.039466624","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
