"No.","Time","Source","Destination","Protocol","Length","Info"
"5623","103.031407","104.17.92.199","10.2.255.181","TLSv1.3","150","Application Data"
"5624","103.056171","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=591660 Ack=238013 Win=65536 Len=0"
"5625","103.070423","104.17.92.199","10.2.255.181","TLSv1.3","189","Application Data"
"5626","103.090499","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=591795 Ack=238095 Win=65536 Len=0"
"5627","103.090499","104.17.92.199","10.2.255.181","TLSv1.3","118","Application Data"
"5628","103.110278","104.17.92.199","10.2.255.181","TLSv1.3","234","Application Data"
"5629","103.139028","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=592039 Ack=238218 Win=65536 Len=0"
"5630","103.160899","104.17.92.199","10.2.255.181","TLSv1.3","170","Application Data"
"5631","103.188546","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=592155 Ack=238341 Win=65536 Len=0"
"5632","103.206459","104.17.92.199","10.2.255.181","TLSv1.3","191","Application Data"
"5633","103.220624","104.17.92.199","10.2.255.181","TLSv1.3","1380","Application Data"
"5634","103.223597","104.17.92.199","10.2.255.181","TLSv1.3","343","Application Data"
"5635","103.241212","104.17.92.199","10.2.255.181","TLSv1.3","219","Application Data"
"5636","103.271910","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=594072 Ack=238546 Win=65536 Len=0"
"5637","103.278331","104.17.92.199","10.2.255.181","TLSv1.3","238","Application Data"
"5638","103.304885","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=594256 Ack=238628 Win=65536 Len=0"
"5639","103.319425","104.17.92.199","10.2.255.181","TLSv1.3","206","Application Data"
"5640","103.333100","104.17.92.199","10.2.255.181","TLSv1.3","118","Application Data"
"5641","103.335217","104.17.92.199","10.2.255.181","TLSv1.3","79","Application Data"
"5642","103.355445","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=594497 Ack=238751 Win=65536 Len=0"
"5643","103.366312","104.17.92.199","10.2.255.181","TLSv1.3","177","Application Data"
"5644","103.388289","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=594620 Ack=238833 Win=65536 Len=0"
"5645","103.400742","104.17.92.199","10.2.255.181","TLSv1.3","201","Application Data"
"5646","103.415426","104.17.92.199","10.2.255.181","TLSv1.3","343","Application Data"
"5647","103.439903","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=595056 Ack=238956 Win=65536 Len=0"
"5648","103.440699","104.17.92.199","10.2.255.181","TLSv1.3","200","Application Data"
"5649","103.472743","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=595202 Ack=239038 Win=65536 Len=0"
"5650","103.481786","104.17.92.199","10.2.255.181","TLSv1.3","192","Application Data"
"5651","103.506053","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=595340 Ack=239120 Win=65536 Len=0"
"5652","103.512950","104.17.92.199","10.2.255.181","TLSv1.3","173","Application Data"
"5653","103.540852","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=595459 Ack=239202 Win=65536 Len=0"
"5654","103.554882","104.17.92.199","10.2.255.181","TLSv1.3","173","Application Data"
"5655","103.570210","104.17.92.199","10.2.255.181","TLSv1.3","118","Application Data"
"5656","103.593768","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=595642 Ack=239325 Win=65536 Len=0"
"5657","103.602196","104.17.92.199","10.2.255.181","TLSv1.3","169","Application Data"
"5658","103.618934","104.17.92.199","10.2.255.181","TLSv1.3","343","Application Data"
"5659","103.640241","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=596046 Ack=239407 Win=65536 Len=0"
"5660","103.640741","104.17.92.199","10.2.255.181","TLSv1.3","169","Application Data"
"5661","103.674242","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=596161 Ack=239489 Win=65536 Len=0"
"5662","103.676498","104.17.92.199","10.2.255.181","TLSv1.3","201","Application Data"
"5663","103.707673","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=596308 Ack=239571 Win=65536 Len=0"
"5664","103.720104","104.17.92.199","10.2.255.181","TLSv1.3","200","Application Data"
"5665","103.739290","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=596454 Ack=239653 Win=65536 Len=0"
"5666","103.764777","104.17.92.199","10.2.255.181","TLSv1.3","187","Application Data"
"5667","103.791026","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=596587 Ack=239776 Win=65536 Len=0"
"5668","103.802060","104.17.92.199","10.2.255.181","TLSv1.3","172","Application Data"
"5669","103.810618","104.17.92.199","10.2.255.181","TLSv1.3","118","Application Data"
"5670","103.819354","104.17.92.199","10.2.255.181","TLSv1.3","343","Application Data"
